FacName,FacStreet,FacCity,FacState,RegistryID,FacCounty,FacLat,FacLong,FacSNCFlg,FacQtrsWithNC,FacPenaltyCount,GHGCO2Releases,TRIReleasesTransfers,FacMapFlg,"DFR URL"
"OAK CREEK GENERATING STATION (NORTH / ELM ROAD)","4801 E ELM RD","OAK CREEK",WI,110064089490,MILWAUKEE,42.84925,-87.83214,N,2,,7944070,,Y,https://echo.epa.gov/detailed-facility-report?fid=110064089490
"ALLIANT ENERGY - WPL - COLUMBIA ENERGY CENTER","W8375 MURRAY RD",PARDEEVILLE,WI,110000420385,COLUMBIA,43.4861,-89.4204,N,0,,7195816,428520,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420385
"OAK CREEK GENERATING STATION (SOUTH)","11060 S CHICAGO RD","OAK CREEK",WI,110000417709,MILWAUKEE,42.8457,-87.8294,N,1,,5112144,590334,Y,https://echo.epa.gov/detailed-facility-report?fid=110000417709
WESTON,"2491 OLD HWY 51",KRONENWETTER,WI,110043779783,MARATHON,44.858039,-89.644665,N,2,1,4164059,897247,Y,https://echo.epa.gov/detailed-facility-report?fid=110043779783
"EDGEWATER GENERATING STATION","3739 LAKESHORE DRIVE",SHEBOYGAN,WI,110000416871,SHEBOYGAN,43.715592,-87.70775,N,2,,3442633,219026,Y,https://echo.epa.gov/detailed-facility-report?fid=110000416871
"PORT WASHINGTON GENERATING STATION","146 SOUTH WISCONSIN ST","PORT WASHINGTON",WI,110043810276,OZAUKEE,43.384505,-87.869704,N,1,,2205813,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043810276
"PLEASANT PRAIRIE POWER PLANT","8000 95TH ST","PLEASANT PRAIRIE",WI,110000417433,KENOSHA,42.5381,-87.9033,N,0,,2088669,238859,Y,https://echo.epa.gov/detailed-facility-report?fid=110000417433
"DAIRYLAND POWER CO-OP J P MADGETT","500 OLD STATE HWY 35",ALMA,WI,110067215463,BUFFALO,44.3026,-91.9126,N,0,,2086250,,Y,https://echo.epa.gov/detailed-facility-report?fid=110067215463
"FOX ENERGY CO LLC","N2310 EAST FRONTAGE ROAD",KAUKAUNA,WI,110023013228,OUTAGAMIE,44.3208,-88.2089,N,0,,1237611,,Y,https://echo.epa.gov/detailed-facility-report?fid=110023013228
"RIVERSIDE ENERGY CENTER","1401 W B-R TOWNLINE RD",BELOIT,WI,110013294087,ROCK,42.58442,-89.03672,Y,3,,1196411,,Y,https://echo.epa.gov/detailed-facility-report?fid=110013294087
"WISCONSIN PUBLIC SERVICE - PULLIAM POWER PLANT","1530 NORTH BYLSBY AVE","GREEN BAY",WI,110000421534,BROWN,44.54119,-88.01279,N,2,1,657293,280463,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421534
"GRAYMONT LIME PLANT","800 HILL AVE",SUPERIOR,WI,110007346229,DOUGLAS,46.731,-92.0765,Y,9,1,597021,270012,Y,https://echo.epa.gov/detailed-facility-report?fid=110007346229
"CORENSO NORTH AMERICA PAPERBOARD MANUFACTURING","310 3RD AVE N","WISCONSIN RAPIDS",WI,110000573718,WOOD,44.394583,-89.827238,N,0,,525267,74623,Y,https://echo.epa.gov/detailed-facility-report?fid=110000573718
"GEORGIA-PACIFIC CONSUMER PRODUCTS LP","1919 SOUTH BROADWAY AVENUE","GREEN BAY",WI,110013863275,BROWN,44.4925,-88.0323,N,4,,384810,214257,Y,https://echo.epa.gov/detailed-facility-report?fid=110013863275
"THILMANY PAPER MILL","600 THILMANY RD",KAUKAUNA,WI,110000420973,OUTAGAMIE,44.2829,-88.2518,N,7,,358721,1046593,Y,https://echo.epa.gov/detailed-facility-report?fid=110000420973
"WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-VALLEY STATION","1035 W CANAL ST",MILWAUKEE,WI,110000419299,MILWAUKEE,43.030372,-87.919832,N,0,,351762,,Y,https://echo.epa.gov/detailed-facility-report?fid=110000419299
"WHITEWATER COGENERATION FACILITY","111 COUNTY HWY U",WHITEWATER,WI,110043795970,WALWORTH,42.855385,-88.730028,N,5,,351320,34143,Y,https://echo.epa.gov/detailed-facility-report?fid=110043795970
"GRAYMONT WESTERN LIME - EDEN","N4520 COUNTY ROAD V",EDEN,WI,110000593910,"FOND DU LAC",43.704601,-88.384912,N,0,,327615,76004,Y,https://echo.epa.gov/detailed-facility-report?fid=110000593910
"DOMTAR NEKOOSA PAPER MILL","301 POINT BASSE AVE.",NEKOOSA,WI,110040877619,WOOD,44.3143,-89.8962,N,0,,284170,356856,Y,https://echo.epa.gov/detailed-facility-report?fid=110040877619
"ROCKGEN ENERGY LLC","2346 CLEARVIEW RD",CAMBRIDGE,WI,110013294069,DANE,42.9766,-89.0488,N,0,,274039,,Y,https://echo.epa.gov/detailed-facility-report?fid=110013294069
"APPLETON COATED L.L.C. LOCKS MILL","540 PROSPECT STREET","COMBINED LOCKS",WI,110017419523,OUTAGAMIE,44.269643,-88.308421,N,3,,230912,17141,Y,https://echo.epa.gov/detailed-facility-report?fid=110017419523
"THYSSENKRUPP WAUPACA PLANTS 2 & 3","1955 BRUNNER DRIVE",WAUPACA,WI,110043802267,WAUPACA,44.3559,-89.054,N,0,,219080,2599214,Y,https://echo.epa.gov/detailed-facility-report?fid=110043802267
"SHEBOYGAN FALLS ENERGY FACILITY","N5787 BRIDGEWOOD RD","SHEBOYGAN FALLS",WI,110018881931,SHEBOYGAN,43.7507,-87.88063,N,0,,218203,,Y,https://echo.epa.gov/detailed-facility-report?fid=110018881931
"EXPERA SPECIALTY SOLUTIONS  LLC - MOSINEE MILL","100 MAIN ST",MOSINEE,WI,110000422043,MARATHON,44.791101,-89.700253,N,5,,208027,338541,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422043
"WAUSAU PAPER MILLS LLC","515 WEST DAVENPORT STREET",RHINELANDER,WI,110000422383,ONEIDA,45.6391,-89.421,N,3,,206779,114706,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422383
"UW MADISON CHARTER STREET HEATING PLANT (DOA)","117 N CHARTER ST",MADISON,WI,110007346194,DANE,43.07034,-89.4057,N,2,,193412,,Y,https://echo.epa.gov/detailed-facility-report?fid=110007346194
"MG&E- WEST CAMPUS COGENERATION FACILITY","515 WALNUT STREET",MADISON,WI,110022398369,DANE,43.07513,-89.42513,N,0,,192168,31529,Y,https://echo.epa.gov/detailed-facility-report?fid=110022398369
"BIRON MILL","621 BIRON DR",BIRON,WI,110000573692,WOOD,44.4289,-89.7817,N,0,,186000,231967,Y,https://echo.epa.gov/detailed-facility-report?fid=110000573692
"CARMEUSE LIME & STONE MANITOWOC OPERATION","4110 ROCKWOOD RD",MANITOWOC,WI,110016858916,MANITOWOC,44.16799,-87.70028,N,6,1,181372,51,Y,https://echo.epa.gov/detailed-facility-report?fid=110016858916
"MANITOWOC PUBLIC UTILITIES-ELECTRIC DIV","1303 S 8TH ST",MANITOWOC,WI,110000421384,MANITOWOC,44.0822,-87.65784,N,0,,178230,583089,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421384
"PACKAGING CORPORATION OF AMERICA-TOMAHAWK","N9090 COUNTY ROAD E",TOMAHAWK,WI,110000422267,LINCOLN,45.450849,-89.740303,N,0,,173944,673470,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422267
"WEST MARINETTE","W1830 CLEVELAND AVENUE",PESHTIGO,WI,110002121515,MARINETTE,45.085404,-87.688381,N,0,,172640,,Y,https://echo.epa.gov/detailed-facility-report?fid=110002121515
"PROCTER & GAMBLE PAPER PRODUCTS - FOX RIVER PLANT","501 EASTMAN AVE","GREEN BAY",WI,110043810043,BROWN,44.5241,-88.0031,N,4,,168119,5,Y,https://echo.epa.gov/detailed-facility-report?fid=110043810043
"WPL - NEENAH GENERATING STATION","200 COUNTY ROAD CB",NEENAH,WI,110040965462,WINNEBAGO,44.19339,-88.50658,N,0,,142885,,Y,https://echo.epa.gov/detailed-facility-report?fid=110040965462
"DEPERE ENERGY CENTER","112 N 5TH ST","DE PERE",WI,110043815565,BROWN,44.448571,-88.072232,N,0,,138055,,Y,https://echo.epa.gov/detailed-facility-report?fid=110043815565
"HUSKY ENERGY - SUPERIOR REFINERY","2407 STINSON AVE",SUPERIOR,WI,110000422962,DOUGLAS,46.6915,-92.072,N,10,4,127895,268139,Y,https://echo.epa.gov/detailed-facility-report?fid=110000422962
"MARQUIS ENERGY - WISCONSIN LLC","N9585 STATE ROAD 80",NECEDAH,WI,110038364221,JUNEAU,43.99187,-90.07219,N,0,,124181,16879,Y,https://echo.epa.gov/detailed-facility-report?fid=110038364221
"VALERO RENEWABLE FUELS","N5355 JUNCTION RD",JEFFERSON,WI,110000419789,JEFFERSON,43.035135,-88.791556,N,5,,119469,17055,Y,https://echo.epa.gov/detailed-facility-report?fid=110000419789
"WE ENERGIES CONCORD STATION","499 S CONCORD AVE",WATERTOWN,WI,110016940159,JEFFERSON,43.167352,-88.687812,N,0,,112230,,Y,https://echo.epa.gov/detailed-facility-report?fid=110016940159
"BADGER STATE ETHANOL INC","820 WEST 17TH STREET",MONROE,WI,110038166365,GREEN,42.5949,-89.66691,Y,6,,110079,5521,Y,https://echo.epa.gov/detailed-facility-report?fid=110038166365
"CARDINAL FG","1650 MOHR ROAD",PORTAGE,WI,110000550298,COLUMBIA,43.55865,-89.49912,N,1,,109568,10,Y,https://echo.epa.gov/detailed-facility-report?fid=110000550298
"JANESVILLE CITY/ROCK COUNTY LANDFILL","525 BLACK BRIDGE RD",JANESVILLE,WI,110038091043,ROCK,42.702781,-89.023611,N,0,,106828,,Y,https://echo.epa.gov/detailed-facility-report?fid=110038091043
"GRAYMONT WESTERN LIME INC","101 JAMES ST","GREEN BAY",WI,110000421552,BROWN,44.52438,-88.01261,Y,6,,104700,29,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421552
"CARDINAL FG","2200 STOKKE PARKWAY",MENOMONIE,WI,110014365588,DUNN,44.91034,-91.8788,N,0,,97702,147,Y,https://echo.epa.gov/detailed-facility-report?fid=110014365588
"THYSSENKRUPP WAUPACA PLANT 1","406 NORTH DIVISION STREET",WAUPACA,WI,110017412771,WAUPACA,44.3621,-89.0817,N,1,,97119,1601769,Y,https://echo.epa.gov/detailed-facility-report?fid=110017412771
"UNITED WISCONSIN GRAIN PRODUCERS LLC","W1231 TESSMANN DR",FRIESLAND,WI,110031001421,COLUMBIA,43.5706,-89.0613,N,8,,91699,11525,Y,https://echo.epa.gov/detailed-facility-report?fid=110031001421
"MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT","700 E JONES ST",MILWAUKEE,WI,110013962514,MILWAUKEE,43.01932,-87.8978,N,1,,90912,,Y,https://echo.epa.gov/detailed-facility-report?fid=110013962514
"UNITED ETHANOL LLC","1250 CHICAGO ST.",MILTON,WI,110023153969,ROCK,42.75991,-88.91711,N,0,,90070,3563,Y,https://echo.epa.gov/detailed-facility-report?fid=110023153969
"STORA ENSO NA STEVENS POINT","707 ARLINGTON PL","STEVENS POINT",WI,110000544215,PORTAGE,44.51942,-89.58392,N,0,,89951,26948,Y,https://echo.epa.gov/detailed-facility-report?fid=110000544215
"GREEN BAY PACKAGING INC - GB MILL DIV","1601 N QUINCY ST","GREEN BAY",WI,110000421464,BROWN,44.52666,-87.99876,Y,2,,88265,15073,Y,https://echo.epa.gov/detailed-facility-report?fid=110000421464
"FOX RIVER VALLEY ETHANOL, LLC","4995 STATE ROAD 91",OSHKOSH,WI,110056339886,WINNEBAGO,43.980233,-88.651815,N,0,,86935,4529,Y,https://echo.epa.gov/detailed-facility-report?fid=110056339886
"SCA TISSUE MENASHA PAPER MILL","190 THIRD ST",MENASHA,WI,110005425682,WINNEBAGO,44.204756,-88.45216,N,0,,86786,124605,Y,https://echo.epa.gov/detailed-facility-report?fid=110005425682
"BIG RIVER RESOURCES BOYCEVILLE LLC","N10185 370TH STREET",BOYCEVILLE,WI,110031001467,DUNN,45.050596,-91.980063,N,0,,83677,19649,Y,https://echo.epa.gov/detailed-facility-report?fid=110031001467
"DIDION MILLING INC - ETHANOL PLANT","N7088 HWY 146",CAMBRIA,WI,110033219078,COLUMBIA,43.53731,-89.10315,Y,1,,82412,,Y,https://echo.epa.gov/detailed-facility-report?fid=110033219078
