Year,County,Latitude,Longitude,Industry Sector,Total Release
2012,FOND DU LAC,43.759661,-88.468509,Machinery,1306.8
2012,GRANT,42.7083,-90.9853,Electric Utilities,88.0
2012,MILWAUKEE,43.03318,-87.94673,Leather,1679.0
2012,LINCOLN,45.450849,-89.740303,Paper,1791.0
2012,BROWN,44.5394,-87.88600000000001,Machinery,51.08
2012,DUNN,45.050596,-91.980063,Chemicals,4326.0
2012,WALWORTH,42.602759999999996,-88.71806,Electrical Equipment,0.0
2012,COLUMBIA,43.53731,-89.10315,Chemicals,0.0
2012,WAUKESHA,42.99345,-88.11922,Fabricated Metals,0.11
2012,MARATHON,44.88913,-89.6248,Paper,3818.1
2012,MILWAUKEE,43.030372,-87.919832,Electric Utilities,172.4
2012,MARATHON,44.757509999999996,-90.12055,Food,120.0
2012,PRICE,45.93657,-90.44776,Paper,2495.0
2012,SHEBOYGAN,43.760490000000004,-87.73952,Chemicals,14700.0
2012,WASHINGTON,43.22276,-88.14918,Plastics and Rubber,0.0
2012,OUTAGAMIE,44.26481,-88.49658000000001,Machinery,1.273
2012,OCONTO,44.8854,-87.8748,Transportation Equipment,5385.0
2012,MILWAUKEE,43.0293,-87.9518,Machinery,672.6
2012,WOOD,44.3143,-89.8962,Paper,39120.0
2012,WINNEBAGO,44.204756,-88.45215999999999,Paper,147.64
2012,OZAUKEE,43.38074,-87.94577,Chemicals,313.0
2012,CRAWFORD,43.0628,-91.1397,Nonmetallic Mineral Product,11077.0
2012,KENOSHA,42.5381,-87.9033,Electric Utilities,1.1
2012,BROWN,44.54119,-88.01279,Electric Utilities,11000.0
2012,EAU CLAIRE,44.849920000000004,-91.5443,Food,0.0
2012,EAU CLAIRE,44.849920000000004,-91.5443,Food,0.0
2012,WAUPACA,44.327690000000004,-89.00137,Fabricated Metals,16933.0
2012,WINNEBAGO,44.177828999999996,-88.4951,Nonmetallic Mineral Product,0.0
2012,MILWAUKEE,43.110640000000004,-87.91675,Machinery,0.0
2012,MILWAUKEE,42.84874,-87.93297,Chemicals,28471.0
2012,WALWORTH,42.60572,-88.42803,Primary Metals,3.0
2012,FOND DU LAC,43.6968,-88.6768,Petroleum Bulk Terminals,30.0
2012,DANE,42.97862,-89.54222,Chemicals,3518.0
2012,DANE,43.07513,-89.42513000000001,Electric Utilities,12706.0
2012,MILWAUKEE,43.11067,-87.95644,Primary Metals,8.0
2012,WAUKESHA,43.186141,-88.063507,Hazardous Waste,572.0
2012,COLUMBIA,43.38062,-89.06000999999999,Primary Metals,9.0
2012,COLUMBIA,43.38062,-89.06000999999999,Primary Metals,29.0
2012,DANE,43.1197,-89.3139,Paper,4552.0
2012,KENOSHA,42.53407,-87.89975,Electrical Equipment,2505.02
2012,OZAUKEE,43.39695,-87.94966,Hazardous Waste,11.0
2012,WAUKESHA,43.1255,-88.0947,Chemical Wholesalers,62.0
2012,WAUKESHA,43.1255,-88.0947,Chemical Wholesalers,12.0
2012,OZAUKEE,43.20711,-87.98153,Transportation Equipment,0.0
2012,WOOD,44.64322,-90.14992,Machinery,13.0
2012,WAUKESHA,43.186842,-88.090653,Electrical Equipment,266.0
2012,GRANT,42.7083,-90.9853,Electric Utilities,0.0
2012,ONEIDA,45.6391,-89.421,Paper,7974.0
2012,OZAUKEE,43.32678,-87.93248,Chemicals,10.0
2012,DODGE,43.21528,-88.71706999999999,Primary Metals,1.608
2012,WAUPACA,44.2916,-88.9336,Plastics and Rubber,8785.0
2012,WAUKESHA,42.99345,-88.11922,Fabricated Metals,55.27
2012,DANE,43.108079,-89.536441,Computers and Electronic Products,0.0
2012,WAUKESHA,43.1575,-88.3125,Chemicals,0.0
2012,MILWAUKEE,43.04943,-87.91583,Fabricated Metals,37.0
2012,WINNEBAGO,44.16243,-88.47349,Primary Metals,34170.0
2012,FOND DU LAC,43.660907,-88.488979,Food,0.0
2012,JACKSON,44.392139,-90.924028,Food,0.0
2012,ONEIDA,45.820627,-89.72536,Wood Products,0.0
2012,WAUKESHA,43.00028,-88.12461,Chemical Wholesalers,9.14
2012,WOOD,44.3143,-89.8962,Paper,0.0
2012,WOOD,44.3143,-89.8962,Paper,32374.0
2012,MARATHON,44.858039,-89.644665,Electric Utilities,13953.0
2012,DANE,43.0777,-89.1976,Chemicals,0.0
2012,KENOSHA,42.532222,-87.906111,Chemicals,10.0
2012,DANE,43.03174,-89.30134,Petroleum Bulk Terminals,302.0
2012,WOOD,44.42328,-89.831663,Paper,23500.0
2012,COLUMBIA,43.5706,-89.0613,Chemicals,9837.0
2012,SHEBOYGAN,43.738294,-87.972827,Food,0.0
2012,LA CROSSE,43.79099,-91.23971,Printing,7952.0
2012,BROWN,44.54119,-88.01279,Electric Utilities,36.1
2012,OZAUKEE,43.38387,-87.93933,Primary Metals,4.79
2012,OUTAGAMIE,44.256389,-88.43055600000001,Machinery,87.17
2012,OZAUKEE,43.21857,-87.98737,Machinery,0.37
2012,ONEIDA,45.674015999999995,-89.305962,Transportation Equipment,0.0
2012,PORTAGE,44.593193,-89.717087,Petroleum Bulk Terminals,0.1000046
2012,PORTAGE,44.593193,-89.717087,Petroleum Bulk Terminals,40.0
2012,MARATHON,44.897420000000004,-89.52067,Primary Metals,251.0
2012,MILWAUKEE,43.14835,-87.95,Transportation Equipment,1000.0
2012,WINNEBAGO,43.97801,-88.54831,Chemicals,7.1
2012,OUTAGAMIE,44.2829,-88.2518,Paper,44615.0
2012,BROWN,44.51075,-87.98285,Chemicals,333.0
2012,KEWAUNEE,44.55172,-87.70324000000001,Transportation Equipment,358.0
2012,LA CROSSE,43.8291,-91.2597,Electric Utilities,5.4
